client,device,sr,model_version,account_id,device_id,v1_model_name,v3_model_name,status
Kcdda,1,0.004,1,5ea84272173b3d0011b3621f,5ea9c267173b3d0011b36ee2,06-24-Kcdda-1-v1-048-f9076f00,06-24-Kcdda-1-v3-001-ec8de1a5,active
Kcdda,1,0.004,2,5ea84272173b3d0011b3621f,5ea9c267173b3d0011b36ee2,04-12-Kcdda-1-v1-002-830544d0,04-12-Kcdda-1-v3-009-4162de2f,active
Walla,1,1/1000,1,60994789ee5d600009a40290,609abe351175bd00090a92fd,06-16-Walla-1-v1-006-fc264554,06-16-Walla-1-v3-007-d10964ba,active
SickKids,1,0.01,1,5e99a9e22386af0010ba7404,5ec54b3d4d4a86001106cf08,06-24-SickKids-1-v1-043-77ee1a8e,06-24-SickKids-1-v3-027-a2c2e7da,inactive
SickKids,1,0.01,2,5e99a9e22386af0010ba7404,5ec54b3d4d4a86001106cf08,sagemaker-ecr-2020-06-28-15-01-51-517,sagemaker-ecr-2020-06-28-15-37-20-869,active
SickKids,1,0.01,3,5e99a9e22386af0010ba7404,5ec54b3d4d4a86001106cf08,12-22-skfw-SickKids-1-v1-008-18f42d0d,12-22-skfw-SickKids-1-v3-025-14f32e5b,active
SickKids,1,0.01,4,5e99a9e22386af0010ba7404,5ec54b3d4d4a86001106cf08,01-29-sk-SickKids-1-v1-038-6ae85743,01-29-sk-SickKids-1-v3-026-f8b8b245,active
SickKids,1,0.01,5,5e99a9e22386af0010ba7404,5ec54b3d4d4a86001106cf08,05-06-SickKids-1-v1-025-b805887e,05-06-SickKids-1-v3-041-eb39dc3b,active
SickKids,1,0.01,6,5e99a9e22386af0010ba7404,5ec54b3d4d4a86001106cf08,06-13-SickKids-1-v1-016-a6e6643f,06-13-SickKids-1-v3-019-7b79f409,active
Guilford,1,0.01,1,619807593896d10009e0b2ad,61981d0b9f156d000a8bf356,03-16-Guilford-1-v1-003-336da5d6,03-16-Guilford-1-v3-007-5ab0ca39,active
Harrisonburg,1,1/1000,2,6081cff532885f0009097bc3,6081e37f466b5c0009739458,10-03-Harrisonburg-1-v1-010-1ccaabef,10-03-Harrisonburg-1-v3-022-cc67c44a,active
NPS,DCFW,0.01,1,5fcca5a7c87ffa00110dfef6,5fd23022b45a9300117a62a7,01-05-npsfw-NPS-DCFW-v1-045-710ab21f,01-05-npsfw-NPS-DCFW-v3-025-393e4385,active
WMU,1,0.00002,1,5ec7da694d4a86001106da83,5ec7db437f736700114636a9,06-24-WMU-1-v1-014-07b2bf1c,06-24-WMU-1-v3-036-85e12877,active
Peachtree,1,0.01,1,5e85a5cc008b0c0010ed90da,5f07251af684220011267b3f,07-19-Peachtree-1-v1-036-be6efcbb,07-19-Peachtree-1-v3-034-5d30a482,inactive
Peachtree,1,0.01,2,5e85a5cc008b0c0010ed90da,5f07251af684220011267b3f,sagemaker-ecr-2020-07-22-12-10-13-157,sagemaker-ecr-2020-07-22-13-16-57-398,inactive
Peachtree,1,0.01,3,5e85a5cc008b0c0010ed90da,5f07251af684220011267b3f,07-25-Peachtree-1-v1-018-db3d263c,07-25-Peachtree-1-v3-032-ed8e6f89,inactive
Peachtree,1,0.01,4,5e85a5cc008b0c0010ed90da,5f07251af684220011267b3f,sagemaker-ecr-2020-08-02-10-06-32-750,sagemaker-ecr-2020-08-02-10-05-29-231-copy-08-03,inactive
Peachtree,1,0.01,5,5e85a5cc008b0c0010ed90da,5f07251af684220011267b3f,09-16-Peachtree-1-v1-004-55d9e3c8,09-16-Peachtree-1-v3-032-a01d1236,active
Eugene,1,0.0005,1,5ed4e7c5403dc20018b47e6c,5f19fcb75a19bc0011aa61dc,07-29-Eugene-1-v1-043-a3dcd90a,07-29-Eugene-1-v3-050-0dd4dee8,active
Eugene,2,0.0005,1,5ed4e7c5403dc20018b47e6c,5f1b1cbd5a19bc0011aa66ff,07-29-Eugene-2-v1-036-a7983719,07-29-Eugene-2-v3-021-fa6da1bb,active
Eugene,Firewall,0.0005,2,5ed4e7c5403dc20018b47e6c,5f19f5f45a19bc0011aa618e,09-23-aviv-eu-Eugene-Firewall-v1-048-34a8899c,09-23-aviv-eu-Eugene-Firewall-v3-001-534174fa,active
DouglasCounty,1,0.0001220703125,1,5f15d4502997970011989705,5f1eee725a19bc0011aa73dd,08-05-DouglasCounty-1-v1-025-b6d4f962,08-05-DouglasCounty-1-v3-006-1d38bf39,active
Restorepoint,1,0.1,1,5f53901a4e0ffa001a08ba2e,5f53971d4e0ffa001a08ba89,08-05-Restorepoint-1-v1-045-c1b5fdc6,08-05-Restorepoint-1-v3-011-9f223116,inactive
Restorepoint,1,0.1,2,5f53901a4e0ffa001a08ba2e,5f53971d4e0ffa001a08ba89,sagemaker-ecr-2020-09-17-10-28-14-518,09-16-Restorepoint-1-v3-006-73dcd68f,active
Underline,1,0.03125,1,'5f58eaf54076aa0011947ce4','5f64a36594e2b10011935c20',09-23-aviv-under-Underline-1-v1-017-422c111f,09-23-aviv-under-Underline-1-v3-012-ee30434a,active
Allegronet,1,0.01,1,5f919c6ab23fd60011b6d96e,5f957476b9b6180011b98249,11-01-aviv-allg-Allegronet-1-v1-011-8ee1f900,11-01-aviv-allg-Allegronet-1-v3-032-368fb6e9,active
Sheba,1,0.02,1,5f2921da70ec850011e5a8ec,5f9ffbdbb9b6180011b9fb06,11-01-aviv-allg-Sheba-1-v1-005-5c4f6d11,11-01-aviv-allg-Sheba-1-v3-007-cd9bdacd,active
Hamblen,FWCH,0.1,1,6050cabcd32d890008c53f66,6050ce59e789670008a90065,03-23-FWCH-Hamblen-FWCH-v1-017-a488d9b0,03-23-FWCH-Hamblen-FWCH-v3-008-7512fe89,active
Hamblen,FWJC,0.1,1,6050cabcd32d890008c53f66,6050d0f2e789670008a90066,03-23-FWjc-Hamblen-FWJC-v1-002-d186ca15,03-23-FWjc-Hamblen-FWJC-v3-010-0d457ae7,active
HoustonCounty,1,0.02,2,603e5fa61788140011913529,603e9f70be4cd50011efd064,07-27-HoustonCounty-1-v1-036-e10753d0,07-27-HoustonCounty-1-v3-016-0e9d776f,active
Krypto,FW,0.1,1,6135c29aab9cc00009d19178,6135cbd5b9719f0009250f69,shortinferv1,no-v3-model,active
Clakamas,1,0.02,1,605a125d76420d0009e36813,605a18ba1bbdb60008c4cca3,03-29--Clakamas-1-v1-001-b669ae56,03-29--Clakamas-1-v3-020-7885946a,active
MorganTown,1,0.1,1,6040f84e99ef230011b54c81,6040f8f199ef230011b54c9a,04-26-M2-MorganTown-1-v1-018-2fd0a21e,03-09-MORG-MorganTown-1-v3-034-91e0c72e,active
Coffee,1,0.01,2,605a0334e3bda70008991d91,605a087f1bbdb60008c4cca1,04-19-Coffee-1-v1-006-b30e4f52,04-19-Coffee-1-v3-007-af107403,active
Coffee,1,0.01,4,605a0334e3bda70008991d91,605a087f1bbdb60008c4cca1,10-03-Coffee-1-v1-001-56768a1f,10-03-Coffee-1-v3-006-a836e8bb,active
JohnsonCity,1,1/1000,1,609e74f30bc7740009cd3fe0,609e75ad2dbbae0009d94485,06-21-JohnsonCity-1-v1-014-fa685b46,06-21-JohnsonCity-1-v3-002-14de8a60,active
Sioux,1,1/1000,1,60a52c5d7c0df300090597c2,60a66eae1265d10009c77766,06-22-Sioux-1-v1-029-9d0b5553,06-22-Sioux-1-v3-010-4616c69a,active
Palmetto,1,1/100,1,607ee12ff2959700095a0ca7,60883934ee88920009f2454e,05-20-Palmetto-1-v1-029-4f48d948,05-20-Palmetto-1-v3-011-131a28a4,active
Roseville,FW-Main,1/1000,2,607efa4be890af000920ea28,607f089788a64c000921a432,06-24-Roseville-FW-Main-v1-028-65a05e34,06-24-Roseville-FW-Main-v3-013-adf1a6ed,active
Roseville,FW-2,1/1000,2,607efa4be890af000920ea28,607f07e1557c4200098ca09c,06-24-fw2-Roseville-FW-2-v1-032-75bc498e,06-24-fw2-Roseville-FW-2-v3-034-5523cf38,active
Franklin,1,1/100,1,60100cbe312cbe0018ec6c31,60995d18ca97400009fbf734,05-27-Franklin-1-v1-029-01fa35c5,05-27-Franklin-1-v3-012-e3ba3062,active
Clarksville,FW,0.001,1,60589f2af0095a0008d0ff05,6058a401fa9d950008d0d502,03-30-Clarks-Clarksville-FW-v1-008-6379520e,03-30-Clarks-Clarksville-FW-v3-014-015ee306,active
Christiansburg,FW,0.001,1,606321174715f60008961b28,606324ea805d3a0008ba1072,04-11-Christiansburg-FW-v1-013-8af25341,04-11-Christiansburg-FW-v3-008-2099bea4,active
Williamsburg,1,1/100,3,6082eaeb9295ea0008e39fe8,6082ebef77cbe8000929680d,12-26-Williamsburg-1-v1-011-4f5a4f4f,12-26-Williamsburg-1-v3-025-84ee8c2b,active
Fonex,FW1,0.02,1,605b39561fe2330008380c8a,605b3a5b4442490008c8261f,03-30--Fonex-FW1-v1-016-a237e788,03-30--Fonex-FW1-v3-001-ab81be41,active
Fonex,FW-Fr,0.02,1,605b39561fe2330008380c8a,605b3c641b1b8900082d88f0,04-11-Fonex-FW-Fr-v1-007-252a5dd2,04-11-Fonex-FW-Fr-v3-020-f95ee069,active
FranklinCounty,1,0.01,1,60100cbe312cbe0018ec6c31,60995d18ca97400009fbf734,shortinferfranklinv1,shortinferfranklinv3,active
Glen,1,0.01,1,607d8456fcc48c00097a1254,607d89a3de35460009a0af14,shortinferv1,shortinferv3,active
Sheba,2,0.5,1,5f2921da70ec850011e5a8ec,5f9030a0b23fd60011b6cfbb,11-07-sheb-device2-Sheba-2-v1-022-0eb5c574,11-07-sheb-device2-Sheba-2-v3-006-83ff8401,active
Urbandale,FW,1/100,1,6195601bb469e60009ea7fce,61956106afe8280009b5a07b,12-26-Urbandale-FW-v1-011-e23e71d8,12-26-Urbandale-FW-v3-008-d3e54ac1,active
Saratoga,FW,1/100,1,617861ac04d47b000952bb52,617862a1f449c80009ca3c84,12-26-Saratoga-FW-v1-007-94a5e215,12-26-Saratoga-FW-v3-006-680275e3,active
Walla,VTPocketASA,1/100,1,60994789ee5d600009a40290,6189947d22b29b0009b3b106,12-26-Walla-VTPocketASA-v1-010-ad4072d6,12-26-Walla-VTPocketASA-v3-009-251d720c,active
Walla,VTCLDUOASA,1/100,1,60994789ee5d600009a40290,618996f5f7b6af0009990482,12-26-Walla-VTCLDUOASA-v1-026-29f2d7bd,12-26-Walla-VTCLDUOASA-v3-030-1d2f638c,active
